ts,host,op,case,label,min_ms,med_ms,all_ms,tag
20260730_165640,local,add,add_medium_0.in,med0,17.7,18.4,"19.8,18.4,18.6,17.9,17.7",baseline_pre_clean
20260730_165640,local,add,add_medium_1.in,med1,17.8,18.1,"17.8,18.3,18.4,17.8,18.1",baseline_pre_clean
20260730_165640,local,add,add_large_0.in,large,17.2,17.4,"17.2,17.5,17.7,17.2,17.4",baseline_pre_clean
20260730_165640,local,add,add_max_0.in,max0,13.6,14.2,"13.6,14.2,14.4,14.7,14.0",baseline_pre_clean
20260730_165640,local,add,add_max_1.in,max1,13.5,13.9,"14.5,13.5,13.5,13.9,14.1",baseline_pre_clean
20260730_165640,local,mul,mul_medium_0.in,med,29.6,29.9,"29.6,29.6,30.2,29.9,30.4",baseline_pre_clean
20260730_165640,local,mul,mul_large_0.in,large,32.6,32.8,"32.6,32.7,33.2,32.8,33.1",baseline_pre_clean
20260730_165640,local,mul,mul_max_0.in,max0,23.5,23.8,"23.5,25.1,23.8,24.7,23.6",baseline_pre_clean
20260730_165640,local,mul,mul_max_1.in,max1,23.4,24.1,"25.2,24.1,24.3,24.0,23.4",baseline_pre_clean
20260730_165640,local,div,div_medium_0.in,med,33.3,33.4,"33.7,33.4,34.2,33.4,33.3",baseline_pre_clean
20260730_165640,local,div,div_large_0.in,large,45.7,46.5,"45.7,46.9,46.7,46.5,46.1",baseline_pre_clean
20260730_165640,local,div,div_max_0.in,max0,38.6,38.9,"38.8,38.6,38.9,39.2,39.3",baseline_pre_clean
20260730_165640,local,div,div_max_2.in,max2,42.7,43.6,"44.6,42.7,43.6,44.1,43.4",baseline_pre_clean
