op,case,cur_o2_ms,best_o2_ms,cur_o3_ms,best_o3_ms,ratio_o2,ratio_o3
add,carry_chain_00.in,16.009100001610932,15.87649999964924,15.817400000742055,15.87190000100236,1.008,0.997
add,carry_chain_01.in,17.217599999639788,16.913299999941955,17.343699999400997,17.170000000987784,1.018,1.010
add,carry_chain_02.in,16.11639999828185,16.335799999069422,16.516900001079193,16.46470000014233,0.987,1.003
add,carry_chain_03.in,17.314900000201305,17.366000000038184,17.726500000208034,17.54889999938314,0.997,1.010
add,example_00.in,10.397699999884935,10.013799999796902,10.418500000014319,10.600499999782187,1.038,0.983
add,large_00.in,16.903199999433127,16.845499998453306,17.738599999574944,16.92410000032396,1.003,1.048
add,large_01.in,17.7373999995325,17.445300001782016,17.60430000103952,17.22160000099393,1.017,1.022
add,large_02.in,17.472300000008545,17.49040000140667,17.70810000016354,17.847099999926286,0.999,0.992
add,large_small_00.in,18.00550000007206,18.526599998949678,18.784100000630133,18.48450000034063,0.972,1.016
add,max_max_00 .in,16.99920000100974,17.493899998953566,17.554699999891454,17.19769999908749,0.972,1.021
add,max_max_01 .in,17.313300000751042,16.999999999825377,17.310200000792975,17.012800000884454,1.018,1.017
add,max_max_02 .in,17.06190000004426,17.148300001281314,17.283799999859184,17.56329999989248,0.995,0.984
add,max_max_03 .in,17.38350000050559,17.593500000657514,17.709600000671344,17.38640000075975,0.988,1.019
add,max_max_04 .in,16.838600000482984,17.15699999840581,16.92699999875913,17.04010000139533,0.981,0.993
add,max_max_05 .in,16.88760000070033,16.711800000848598,16.923500001212233,16.850100000738166,1.011,1.004
add,max_max_06 .in,16.84729999942647,16.714299999875948,17.054300000381772,16.90940000116825,1.008,1.009
add,max_max_07 .in,16.99709999957122,17.048800000338815,17.249000000447268,17.62869999947725,0.997,0.978
add,medium_00.in,18.43619999999646,18.459500000972184,18.75379999910365,18.633600000612205,0.999,1.006
add,medium_01.in,17.405000000508153,17.60180000019318,18.05889999923238,17.784400000891765,0.989,1.015
add,medium_02.in,17.436799998904462,17.510300000139978,17.669900000328198,17.493899998953566,0.996,1.010
add,small_00.in,29.063600000881706,28.90329999900132,29.406899999230518,29.47859999949287,1.006,0.998
add,sum_zero_00.in,17.922499999258434,17.76189999873168,17.723999999361695,17.792099999496713,1.009,0.996
mul,example_00.in,10.376500000347733,10.029900000517955,10.932700000921614,11.022999999113381,1.035,0.992
mul,fft_killer_00.in,41.153800000756746,40.648199999850476,41.05060000074445,40.87769999932789,1.012,1.004
mul,fft_killer_01.in,38.83929999938118,41.20650000004389,39.13289999945846,40.237299999716925,0.943,0.973
mul,large_00.in,33.25770000083139,32.3913000011089,31.427399999301997,33.51040000052308,1.027,0.938
mul,large_01.in,33.29880000092089,34.15820000009262,33.20019999955548,33.4497999992891,0.975,0.993
mul,large_02.in,32.73239999907673,32.340299998395494,33.85339999840653,33.1090999989101,1.012,1.022
mul,large_small_00.in,39.96929999993881,41.29980000107025,40.646299999934854,41.079100001297775,0.968,0.989
mul,max_max_00 .in,37.78689999853668,38.53969999909168,38.280099999610684,37.72709999975632,0.980,1.015
mul,max_max_01 .in,38.137300000016694,37.520199999562465,38.415699998950004,37.788400000863476,1.016,1.017
mul,max_max_02 .in,38.466200001494144,37.496000000828644,39.34809999918798,38.59270000066317,1.026,1.020
