case	instr	l1loads	l1miss	cachemiss	cacheref
a_max_b_random_0	231128610	39515371	7548950	1306728	3431696
a_max_b_random_1	269446162	44881930	8586685	1652401	4467612
a_max_b_random_2	416311994	73486338	16319204	3291841	9407342
burnikel_ziegler_bound_0	368154926	53935900	960899	180403	449179
burnikel_ziegler_bound_1	347930102	53531853	1645102	240242	477297
burnikel_ziegler_bound_2	380648787	53703149	1013722	212314	409716
burnikel_ziegler_bound_3	325932236	50519562	2085770	257336	508976
large_0	92961183	10276008	589976	224115	362873
large_1	97082703	10715438	654565	222713	364221
length_ratio_integer_0	362502300	59504623	11143033	1844644	5124151
length_ratio_integer_1	380956380	63375741	11318550	1488683	4796288
length_ratio_integer_2	423401520	71146642	13001780	1772702	5557861
length_ratio_integer_3	398464878	66638978	11409716	1262545	3626154
length_ratio_integer_4	412032565	68111613	11425141	1088342	2860283
length_ratio_integer_5	331128598	53449651	7672367	726495	1325131
max_0	76052402	7585061	510305	273031	474750
max_1	53002425	6562332	422683	207281	418636
max_2	86452489	9557619	599957	348918	568018
medium_0	300678494	48013975	359406	195927	357338
medium_1	106014301	12346695	255743	118382	253734
medium_2	95652151	10532228	355367	124137	266864
power_0	173556275	21711131	409496	133801	275369
r_nearly_zero_0	340720808	55297818	311999	146965	325607
r_nearly_zero_1	96746146	10731423	333431	121824	220581
r_nearly_zero_2	91195870	9880942	565603	169019	337886
small_0	395562597	61781006	371017	203480	384071
