a_max_b_random_00 len1=500000 len2=60309 qn=439691 in=54962 nblk=8 Fi=131072 Fl=131072 Fc=65536 cyc=1 blkW=5.243e+07
a_max_b_random_01 len1=500000 len2=154379 qn=345621 in=115207 nblk=3 Fi=262144 Fl=393216 Fc=196608 cyc=1 blkW=6.459e+07
a_max_b_random_02 len1=500001 len2=206025 qn=293976 in=146988 nblk=2 Fi=393216 Fl=393216 Fc=262144 cyc=1 blkW=4.811e+07
burnikel_ziegler_bound_00 len1=130 len2=65 qn=65 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=131 len2=65 qn=66 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=132 len2=66 qn=66 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=133 len2=66 qn=67 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=134 len2=67 qn=67 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=135 len2=67 qn=68 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=136 len2=68 qn=68 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=137 len2=68 qn=69 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=138 len2=69 qn=69 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=139 len2=69 qn=70 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=140 len2=70 qn=70 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=141 len2=70 qn=71 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=142 len2=71 qn=71 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=143 len2=71 qn=72 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=144 len2=72 qn=72 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=145 len2=72 qn=73 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=146 len2=73 qn=73 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=147 len2=73 qn=74 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=148 len2=74 qn=74 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=149 len2=74 qn=75 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=150 len2=75 qn=75 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=151 len2=75 qn=76 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=152 len2=76 qn=76 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=153 len2=76 qn=77 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=154 len2=77 qn=77 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=155 len2=77 qn=78 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=156 len2=78 qn=78 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=157 len2=78 qn=79 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=158 len2=79 qn=79 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=159 len2=79 qn=80 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=160 len2=80 qn=80 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=161 len2=80 qn=81 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=162 len2=81 qn=81 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=163 len2=81 qn=82 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=164 len2=82 qn=82 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=165 len2=82 qn=83 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=166 len2=83 qn=83 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=167 len2=83 qn=84 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=168 len2=84 qn=84 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=169 len2=84 qn=85 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=170 len2=85 qn=85 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=171 len2=85 qn=86 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=172 len2=86 qn=86 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=173 len2=86 qn=87 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=174 len2=87 qn=87 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
burnikel_ziegler_bound_00 len1=175 len2=87 qn=88 in=64 nblk=2 Fi=192 Fl=192 Fc=128 cyc=0 blkW=1.165e+04
