reps=9 warm=2  bins=d39,d40,d40a
case                                  d39        d40       d40a     r_d40    r_d40a
burnikel_ziegler_bound_03           37.53      32.99      32.64     0.923     0.910
length_ratio_integer_00             37.22      38.57      37.52     1.019     1.019
r_nearly_zero_01                    35.59      36.81      36.31     1.031     1.027
burnikel_ziegler_bound_02           34.21      34.62      33.41     1.013     0.996
length_ratio_integer_03             31.73      32.54      31.23     1.014     0.995
length_ratio_integer_02             31.26      31.28      31.50     1.000     1.015
a_max_b_random_01                   30.54      29.27      29.44     0.994     0.955
length_ratio_integer_01             30.01      29.08      29.37     0.953     0.977
length_ratio_integer_05             29.72      29.48      30.95     1.010     1.028
burnikel_ziegler_bound_00           29.33      29.52      29.63     1.008     1.010
length_ratio_integer_04             28.41      28.19      27.74     0.997     0.962
medium_02                           28.00      28.52      28.67     1.018     1.003
burnikel_ziegler_bound_01           27.31      26.67      27.12     0.987     1.014
large_01                            26.55      26.55      27.03     1.023     1.015
a_max_b_random_02                   25.91      26.46      25.84     1.007     0.985
medium_01                           25.23      25.97      25.70     1.031     1.012
large_00                            25.00      24.84      24.32     1.009     0.966
a_max_b_random_00                   23.71      21.67      23.52     0.984     1.006
r_nearly_zero_02                    23.61      24.15      24.05     1.026     0.993
medium_00                           20.80      20.16      20.14     0.968     0.954
r_nearly_zero_00                    19.71      20.18      19.94     1.033     1.020
small_00                            15.69      15.61      16.06     0.996     1.050
max_01                               6.22       6.37       6.28     1.022     1.025
max_02                               4.22       5.03       4.22     1.216     1.014
max_00                               4.10       3.91       4.16     0.897     1.038
example_00                           1.62       1.92       1.73     1.151     1.079

SCORE(max) d39      =    37.53 ms   @burnikel_ziegler_bound_03
SCORE(max) d40      =    38.57 ms   @length_ratio_integer_00
SCORE(max) d40a     =    37.52 ms   @length_ratio_integer_00

median-of-ratios d40      vs d39      = 1.0095  (min 0.897 max 1.216)
median-of-ratios d40a     vs d39      = 1.0112  (min 0.910 max 1.079)
DONE
