# 终版优化指令数 (callgrind, 285H, 确定性无噪声)
# 二进制: g++ -O3 -std=c++17 -march=znver3 -mtune=znver3  hex_best/div.cpp -> div_kdq_zn.bin
# 优化 = W1(tier fm_prep) + FFT_LEAF_LOG=8(cache 贴合) + KD_QMAX=128(算法选型微调)
# 对照 baseline_cg_66.txt (pow2, LEAF=11, KD=64) 4820.0M -> 本版 4360.3M = -9.55% 总指令
# 对照 opt_cg_66.txt (W1 仅) 4512.5M -> 4360.3M = -3.37%
# 正确性: verify_self 全 25 组, TOTAL_FAILS=1 (仅 canonical 既有 medium_2 #8 R>=B), 无回归
# 日期: 2026-08-14 (夜间)
#
# case            instr_M    cg_s
length_ratio_0     415.53    1.24
length_ratio_1     357.61    1.09
length_ratio_2     382.64    1.25
length_ratio_3     383.71    1.41
length_ratio_4     366.00    1.40
length_ratio_5     305.97    1.26
amax_0               7.08    0.31
amax_1             330.75    1.05
amax_2             224.41    0.79
max_0                7.08    0.29
max_1                6.13    0.31
max_2                7.08    0.29
large_0            362.13    1.18
large_1            313.75    1.11
medium_0           204.06    0.70
medium_1           211.52    0.69
medium_2           201.13    0.66
bzbound_0           14.70    0.38
bzbound_1           14.28    0.37
bzbound_2           14.39    0.35
bzbound_3           14.23    0.37
small_0            211.82    0.68
power_0              4.31    0.36
# TOTAL           4360.31
#
# 累计链路: 原始 v11 #392237(47ms) -> W1 #392514(44ms) -> W1 #392719(39ms, 4512.5M)
#           -> 本版(LEAF=8+KD=128, 4360.3M). 预期 LC 墙钟 39ms -> ~36-38ms (需提交确认).
